texto;urgencia
Estou com uma tosse seca e persistente.;baixa
Minha garganta está arranhando um pouco.;baixa
Sinto um leve cansaço e dor no corpo.;baixa
Nariz escorrendo há dois dias.;baixa
Apenas alguns espirros e congestão nasal.;baixa
Tosse com um pouco de catarro claro.;baixa
Sinto uma dor muscular leve nas costas.;baixa
Leve dor de cabeça na parte da tarde.;baixa
Meu nariz está entupido.;baixa
Uma sensação de resfriado começando.;baixa
Garganta irritada ao engolir.;baixa
Só um pouco de coriza.;baixa
Cansaço, mas sem febre.;baixa
Tosse seca que piora à noite.;baixa
Me sinto um pouco indisposto.;baixa
Dor de garganta e rouquidão.;baixa
Espirros em sequência.;baixa
Congestão nasal e pressão nos seios da face.;baixa
Dores musculares leves após exercício.;baixa
Sensação de corpo pesado.;baixa
acordei com a garganta seca;baixa
tenho tossido bastante;baixa
nariz pingando sem parar;baixa
espirrando muito, acho que é alergia;baixa
um pouco de dor no corpo;baixa
dor de garganta ao falar;baixa
sinto meu corpo cansado;baixa
mal estar geral;baixa
apenas uma tosse chata;baixa
congestão nasal;baixa
dor muscular;baixa
cansaço;baixa
tosse;baixa
garganta doendo;baixa
espirro;baixa
coriza;baixa
nariz entupido;baixa
indisposição;baixa
rouquidão;baixa
Estou com febre de 38 graus.;media
Sinto calafrios e depois começo a suar.;media
Dor de cabeça forte e latejante.;media
Náuseas e já vomitei duas vezes.;media
Tontura ao me levantar rapidamente.;media
Dor de ouvido que não passa.;media
Dor abdominal na região da barriga.;media
Diarreia há mais de um dia.;media
Ardência ao urinar e vontade frequente.;media
Febre que vai e volta.;media
Enxaqueca com sensibilidade à luz.;media
Sensação de estômago embrulhado.;media
Vertigem e uma leve desorientação.;media
Zumbido constante no ouvido.;media
Cólicas abdominais fortes.;media
Fezes líquidas e constantes.;media
Dor na bexiga e urina escura.;media
Calafrios intensos mesmo coberto.;media
A febre chegou a 39.;media
Vômito com traços de bile.;media
febre e dor de cabeça;media
muita tontura;media
dor de barriga forte;media
infecção de urina;media
dor de ouvido;media
calafrios e febre;media
vomitando muito;media
a cabeça parece que vai explodir;media
diarreia liquida;media
febre;media
vômito;media
vomito;media
nausea;media
náusea;media
tontura;media
dor abdominal;media
dor de barriga;media
enxaqueca;media
calafrio;media
Sinto uma dor forte no peito.;alta
Estou com muita falta de ar.;alta
Não consigo respirar direito.;alta
Tive um desmaio repentino.;alta
Perdi a consciência por alguns segundos.;alta
Minha fala está ficando arrastada.;alta
Sangramento intenso que não para.;alta
Sofri uma queda e acho que quebrei o braço.;alta
Dor súbita e excruciante no abdômen.;alta
Pressão forte no peito e suor frio.;alta
Dificuldade extrema para respirar.;alta
Confusão mental e desorientação.;alta
Visão turva e dor de cabeça súbita.;alta
Não consigo mover minha perna.;alta
Corte profundo com sangramento.;alta
Dor no peito que irradia para o braço esquerdo.;alta
Sensação de afogamento ou sufocamento.;alta
Desmaiei e bati a cabeça.;alta
Fala enrolada e um lado do rosto caído.;alta
Perda de força em um lado do corpo.;alta
dor no peito;alta
falta de ar;alta
desmaio;alta
sangramento;alta
confusão mental;alta
dificuldade pra respirar;alta
pressão no peito;alta
fala arrastada;alta
perda de consciência;alta
visão turva;alta
dor excruciante;alta
acidente;alta
fratura;alta
corte profundo;alta
sufocamento;alta
hemorragia;alta
batida forte na cabeça;alta
não sinto meu braço;alta
formigamento no rosto;alta
dor no peito e no braço;alta
Minha tosse é leve mas não para.;baixa
Um pouco de dor de garganta pela manhã.;baixa
Cansaço normal de fim de dia.;baixa
Nariz congestionado mas sem febre.;baixa
Espirros ocasionais durante o dia.;baixa
sinto o corpo meio mole;baixa
dor de cabeça leve;baixa
garganta um pouco inflamada;baixa
estou resfriado;baixa
só nariz entupido mesmo;baixa
Febre moderada e dor no corpo.;media
Dor de cabeça que piora quando me abaixo.;media
Náusea sem chegar a vomitar.;media
Uma tontura leve mas constante.;media
Dor de ouvido do lado direito.;media
um pouco de febre;media
dor de cabeça chata;media
estômago ruim;media
me sentindo tonto;media
ouvido doendo;media
Dor aguda no peito ao respirar fundo.;alta
Falta de ar mesmo sentado em repouso.;alta
Quase desmaiei no banheiro.;alta
Sangrando pelo nariz sem parar após uma batida.;alta
Estou confuso não sei onde estou.;alta
dor no peito forte;alta
muita falta de ar;alta
sensação de desmaio;alta
sangramento nasal;alta
mente confusa;alta
dor nas costas;baixa
coceira na garganta;baixa
só um resfriado leve;baixa
cabeça pesada;baixa
espirradeira;baixa
dor de cabeça e um pouco de febre;media
calafrio e corpo doendo;media
vomitei meu almoço;media
tudo girando;media
dor de barriga e gases;media
pressão no peito e formigamento;alta
respiração curta e rápida;alta
desmaiei e acordei no chão;alta
cortei o dedo e o sangue não estanca;alta
não reconheço meus familiares;alta
garganta seca;baixa
tosse com pigarro;baixa
corpo pesado;baixa
nariz escorrendo água;baixa
alergia atacada;baixa
febre de 38.5;media
dor de cabeça com latejamento;media
azia e náusea;media
labirintite atacou;media
infecção intestinal;media
dor no peito que vem e vai;alta
não consigo encher o pulmão de ar;alta
apaguei por um instante;alta
sangramento na urina;alta
não lembro meu nome;alta
tosse irritante;baixa
dor de garganta ao beber água;baixa
sonolência excessiva;baixa
rinite;baixa
voz rouca;baixa
febre e suor noturno;media
dor de cabeça atrás dos olhos;media
vontade de vomitar;media
sensação de que tudo roda;media
barriga inchada e dolorida;media
aperto no peito;alta
fôlego curto;alta
perdi os sentidos;alta
sangramento na gengiva em excesso;alta
esquecimento repentino;alta
